word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other;title_counter;lyrics_counter
contrast;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
contribution;noun;False;True;False;False;False;False;False;False;False;False;0;2
control;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
convenient;adjective;False;False;True;False;False;False;False;False;False;False;0;0
conversation;noun;False;True;False;False;False;False;False;False;False;False;0;1
convert;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
cook;noun, verb;False;True;False;False;True;False;False;False;False;False;0;1
cookie;noun;False;True;False;False;False;False;False;False;False;False;0;0
cooperation;noun;False;True;False;False;False;False;False;False;False;False;0;0
cope;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
copious;adjective;False;False;True;False;False;False;False;False;False;False;0;0
copy;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
copyright;noun, verb, adjective;False;True;True;False;True;False;False;False;False;False;0;0
core;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False;0;0
corn;noun, noun;False;True;False;False;False;False;False;False;False;False;0;0
corner;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False;0;3
corporate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
corporation;noun;False;True;False;False;False;False;False;False;False;False;0;2
corpulent;adjective;False;False;True;False;False;False;False;False;False;False;0;0
correct;adjective, verb;False;False;True;False;True;False;False;False;False;False;0;1
cost;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
cottage;noun;False;True;False;False;False;False;False;False;False;False;0;1
cotton;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
cough;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
council;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
count;verb, noun, noun;False;True;False;False;True;False;False;False;False;False;0;6
country;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;5
couple;noun, verb;False;True;False;False;True;False;False;False;False;False;0;8
courage;noun;False;True;False;False;False;False;False;False;False;False;0;0
courageous;adjective;False;False;True;False;False;False;False;False;False;False;0;0
course;noun, verb;False;True;False;False;True;False;False;False;False;False;0;1
court;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
cousin;noun;False;True;False;False;False;False;False;False;False;False;0;0
cover;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
cover;noun;False;True;False;False;False;False;False;False;False;False;0;0
cow;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
cowardly;adjective;False;False;True;False;False;False;False;False;False;False;0;0
crack;verb, noun, adjective;False;True;True;False;True;False;False;False;False;False;0;0
craft;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
crash;verb, noun;False;True;False;False;True;False;False;False;False;False;0;1
cream;noun, verb;False;True;False;False;True;False;False;False;False;False;0;2
creative;adjective;False;False;True;False;False;False;False;False;False;False;0;0
creature;noun;False;True;False;False;False;False;False;False;False;False;0;0
credence;noun;False;True;False;False;False;False;False;False;False;False;0;0
credible;adjective;False;False;True;False;False;False;False;False;False;False;0;0
credit;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
crew;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
crime;noun;False;True;False;False;False;False;False;False;False;False;0;2
criminal;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
crisis;noun;False;True;False;False;False;False;False;False;False;False;0;0
crisp;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False;0;0
cruel;adjective;False;False;True;False;False;False;False;False;False;False;0;1
crutch;noun;False;True;False;False;False;False;False;False;False;False;0;0
curiosity;noun;False;True;False;False;False;False;False;False;False;False;0;0
currency;noun;False;True;False;False;False;False;False;False;False;False;0;0
custody;noun;False;True;False;False;False;False;False;False;False;False;0;0
customs;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
cut;verb, noun;False;True;False;False;True;False;False;False;False;False;0;4
cynical;adjective;False;False;True;False;False;False;False;False;False;False;0;0
dad;noun;False;True;False;False;False;False;False;False;False;False;0;2
