word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other
lady;noun;False;True;False;False;False;False;False;False;False;False
lake;noun;False;True;False;False;False;False;False;False;False;False
lamp;noun;False;True;False;False;False;False;False;False;False;False
land;noun, verb;False;True;False;False;True;False;False;False;False;False
landfill;noun;False;True;False;False;False;False;False;False;False;False
landing;noun;False;True;False;False;False;False;False;False;False;False
landlord;noun;False;True;False;False;False;False;False;False;False;False
lane;noun;False;True;False;False;False;False;False;False;False;False
language;noun;False;True;False;False;False;False;False;False;False;False
large;adjective, noun;False;True;True;False;False;False;False;False;False;False
last;verb, adjective, adverb, pronoun, noun;True;False;True;True;False;False;False;False;False;False
late;adjective, adverb;False;False;True;True;False;False;False;False;False;False
lately;adverb;False;False;False;True;False;False;False;False;False;False
later;adjective, adverb;False;False;True;True;False;False;False;False;False;False
latter;adjective;False;False;True;False;False;False;False;False;False;False
laugh;verb, noun;False;True;False;False;True;False;False;False;False;False
launch;verb, noun, noun;False;True;False;False;True;False;False;False;False;False
lavatory;noun;False;True;False;False;False;False;False;False;False;False
law;noun;False;True;False;False;False;False;False;False;False;False
lawyer;noun;False;True;False;False;False;False;False;False;False;False
lay;verb, noun, adjective;False;True;True;False;True;False;False;False;False;False
lay;noun;False;True;False;False;False;False;False;False;False;False
layer;noun, verb;False;True;False;False;True;False;False;False;False;False
layoff;noun;False;True;False;False;False;False;False;False;False;False
lazy;adjective;False;False;True;False;False;False;False;False;False;False
lead;verb, noun, noun;False;True;False;False;True;False;False;False;False;False
leader;noun;False;True;False;False;False;False;False;False;False;False
leaf;noun, verb;False;True;False;False;True;False;False;False;False;False
league;noun, noun;False;True;False;False;False;False;False;False;False;False
leak;verb, noun;False;True;False;False;True;False;False;False;False;False
lean;verb, adjective;False;False;True;False;True;False;False;False;False;False
learn;verb;False;False;False;False;True;False;False;False;False;False
least;adjective, noun, adverb;False;True;True;True;False;False;False;False;False;False
leather;noun;False;True;False;False;False;False;False;False;False;False
leave;verb, noun;False;True;False;False;True;False;False;False;False;False
lecture;noun, verb;False;True;False;False;True;False;False;False;False;False
left;adjective, adverb, noun;False;True;True;True;False;False;False;False;False;False
leg;noun, verb;False;True;False;False;True;False;False;False;False;False
legal;adjective;False;False;True;False;False;False;False;False;False;False
lemon;noun;False;True;False;False;False;False;False;False;False;False
lend;verb;False;False;False;False;True;False;False;False;False;False
length;noun;False;True;False;False;False;False;False;False;False;False
less;adjective, adverb, pronoun, preposition;True;False;True;True;False;False;True;False;False;False
lesson;noun;False;True;False;False;False;False;False;False;False;False
let;verb, noun;False;True;False;False;True;False;False;False;False;False
letter;noun, verb;False;True;False;False;True;False;False;False;False;False
level;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False
liberal;adjective, noun;False;True;True;False;False;False;False;False;False;False
liberty;noun;False;True;False;False;False;False;False;False;False;False
library;noun;False;True;False;False;False;False;False;False;False;False
license;noun, verb;False;True;False;False;True;False;False;False;False;False
lid;noun;False;True;False;False;False;False;False;False;False;False
lie;verb, noun, verb, noun;False;True;False;False;True;False;False;False;False;False
life;noun, adjective;False;True;True;False;False;False;False;False;False;False
life;noun;False;True;False;False;False;False;False;False;False;False
lift;verb, noun;False;True;False;False;True;False;False;False;False;False
light;noun, adjective, verb, adjective, adverb;False;True;True;True;False;False;False;False;False;False
lightning;noun, adjective;False;True;True;False;False;False;False;False;False;False
like;verb, noun, preposition, adjective, noun, adverb, conjunction;False;True;True;True;False;False;True;True;False;False
likely;adjective, adverb;False;False;True;True;False;False;False;False;False;False
limit;noun, verb;False;True;False;False;True;False;False;False;False;False
line;noun, verb, verb;False;True;False;False;True;False;False;False;False;False
link;verb, noun;False;True;False;False;True;False;False;False;False;False
lip;noun;False;True;False;False;False;False;False;False;False;False
liquid;noun, adjective;False;True;True;False;False;False;False;False;False;False
list;noun, verb, verb, noun;False;True;False;False;True;False;False;False;False;False
listen;verb, noun;False;True;False;False;True;False;False;False;False;False
literary;adjective;False;False;True;False;False;False;False;False;False;False
literature;noun;False;True;False;False;False;False;False;False;False;False
litigate;verb;False;False;False;False;True;False;False;False;False;False
little;adjective, adverb, pronoun;True;False;True;True;False;False;False;False;False;False
live;verb, adjective, adverb;False;False;True;True;False;False;False;False;False;False
load;noun, verb;False;True;False;False;True;False;False;False;False;False
loaf;noun, verb;False;True;False;False;True;False;False;False;False;False
loan;noun, verb;False;True;False;False;True;False;False;False;False;False
local;adjective, noun;False;True;True;False;False;False;False;False;False;False
locate;verb;False;False;False;False;True;False;False;False;False;False
location;noun;False;True;False;False;False;False;False;False;False;False
lock;noun, verb, noun;False;True;False;False;True;False;False;False;False;False
locker;noun;False;True;False;False;False;False;False;False;False;False
logic;noun;False;True;False;False;False;False;False;False;False;False
logical;adjective;False;False;True;False;False;False;False;False;False;False
loneliness;adjective;False;False;True;False;False;False;False;False;False;False
lonely;adjective;False;False;True;False;False;False;False;False;False;False
long;adjective, adverb, noun, verb;False;True;True;True;False;False;False;False;False;False
longing;noun, adjective;False;True;True;False;False;False;False;False;False;False
look;verb, noun;False;True;False;False;True;False;False;False;False;False
loose;adjective, adverb, verb, noun;False;True;True;True;False;False;False;False;False;False
lord;noun, verb;False;True;False;False;True;False;False;False;False;False
lose;verb;False;False;False;False;True;False;False;False;False;False
loss;noun;False;True;False;False;False;False;False;False;False;False
lost;adjective;False;False;True;False;False;False;False;False;False;False
lot;noun;False;True;False;False;False;False;False;False;False;False
loud;adjective;False;False;True;False;False;False;False;False;False;False
love;noun, verb;False;True;False;False;True;False;False;False;False;False
lovely;adjective, noun;False;True;True;False;False;False;False;False;False;False
low;adjective, adverb, noun, verb;False;True;True;True;False;False;False;False;False;False
lower;adjective, verb, verb;False;False;True;False;True;False;False;False;False;False
loyal;adjective;False;False;True;False;False;False;False;False;False;False
luck;noun, verb;False;True;False;False;True;False;False;False;False;False
lucky;adjective;False;False;True;False;False;False;False;False;False;False
ludicrous;adjective;False;False;True;False;False;False;False;False;False;False
luggage;noun;False;True;False;False;False;False;False;False;False;False
lump;noun, verb;False;True;False;False;True;False;False;False;False;False
lunch;noun, verb;False;True;False;False;True;False;False;False;False;False
lung;noun;False;True;False;False;False;False;False;False;False;False
lust;noun, verb;False;True;False;False;True;False;False;False;False;False
machine;noun, verb;False;True;False;False;True;False;False;False;False;False
mad;adjective;False;False;True;False;False;False;False;False;False;False
magazine;noun;False;True;False;False;False;False;False;False;False;False
magic;noun, adjective;False;True;True;False;False;False;False;False;False;False
mail;noun, verb, noun;False;True;False;False;True;False;False;False;False;False
main;adjective, noun;False;True;True;False;False;False;False;False;False;False
maintain;verb;False;False;False;False;True;False;False;False;False;False
major;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False
majority;noun;False;True;False;False;False;False;False;False;False;False
make;verb, noun;False;True;False;False;True;False;False;False;False;False
male;adjective, noun;False;True;True;False;False;False;False;False;False;False
malice;noun;False;True;False;False;False;False;False;False;False;False
man;noun, interjection, verb;False;True;False;False;True;False;False;False;True;False
manage;verb;False;False;False;False;True;False;False;False;False;False
management;noun;False;True;False;False;False;False;False;False;False;False
manager;noun;False;True;False;False;False;False;False;False;False;False
manner;noun;False;True;False;False;False;False;False;False;False;False
manufacture;verb, noun;False;True;False;False;True;False;False;False;False;False
many;adjective, pronoun;True;False;True;False;False;False;False;False;False;False
map;noun, verb;False;True;False;False;True;False;False;False;False;False
march;verb, noun;False;True;False;False;True;False;False;False;False;False
margin;noun;False;True;False;False;False;False;False;False;False;False
mark;noun, verb, noun;False;True;False;False;True;False;False;False;False;False
market;noun, verb;False;True;False;False;True;False;False;False;False;False
marriage;noun;False;True;False;False;False;False;False;False;False;False
marry;verb;False;False;False;False;True;False;False;False;False;False
mass;noun, verb, adjective;False;True;True;False;True;False;False;False;False;False
master;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False
master's;noun;False;True;False;False;False;False;False;False;False;False
match;noun, verb, noun;False;True;False;False;True;False;False;False;False;False
mate;noun, verb;False;True;False;False;True;False;False;False;False;False
material;noun, adjective;False;True;True;False;False;False;False;False;False;False
mathematics;noun;False;True;False;False;False;False;False;False;False;False
matriculate;verb;False;False;False;False;True;False;False;False;False;False
matter;noun, verb;False;True;False;False;True;False;False;False;False;False
maximum;noun, adjective, adverb;False;True;True;True;False;False;False;False;False;False
may;verb;False;False;False;False;True;False;False;False;False;False
maybe;adverb, noun;False;True;False;True;False;False;False;False;False;False
mayor;noun;False;True;False;False;False;False;False;False;False;False
me;pronoun;True;False;False;False;False;False;False;False;False;True
meal;noun, noun;False;True;False;False;False;False;False;False;False;False
mean;verb, adjective, adjective, noun;False;True;True;False;True;False;False;False;False;False
meaning;noun;False;True;False;False;False;False;False;False;False;False
means;noun;False;True;False;False;False;False;False;False;False;False
meanwhile;adverb, noun;False;True;False;True;False;False;False;False;False;False
measure;noun, verb;False;True;False;False;True;False;False;False;False;False
measurement;noun;False;True;False;False;False;False;False;False;False;False
meat;noun;False;True;False;False;False;False;False;False;False;False
mechanic;noun;False;True;False;False;False;False;False;False;False;False
mechanical;adjective;False;False;True;False;False;False;False;False;False;False
mechanism;noun;False;True;False;False;False;False;False;False;False;False
media;noun;False;True;False;False;False;False;False;False;False;False
mediation;verb;False;False;False;False;True;False;False;False;False;False
medical;adjective, noun;False;True;True;False;False;False;False;False;False;False
medication;noun;False;True;False;False;False;False;False;False;False;False
medicine;noun;False;True;False;False;False;False;False;False;False;False
medium;noun, adjective;False;True;True;False;False;False;False;False;False;False
meet;verb, noun;False;True;False;False;True;False;False;False;False;False
meeting;noun;False;True;False;False;False;False;False;False;False;False
melt;verb, noun;False;True;False;False;True;False;False;False;False;False
member;noun;False;True;False;False;False;False;False;False;False;False
membership;noun;False;True;False;False;False;False;False;False;False;False
memory;noun;False;True;False;False;False;False;False;False;False;False
mental;adjective;False;False;True;False;False;False;False;False;False;False
mention;verb, noun;False;True;False;False;True;False;False;False;False;False
menu;noun;False;True;False;False;False;False;False;False;False;False
mercy;noun;False;True;False;False;False;False;False;False;False;False
mere;adjective;False;False;True;False;False;False;False;False;False;False
merely;adverb;False;False;False;True;False;False;False;False;False;False
merry;adjective;False;False;True;False;False;False;False;False;False;False
mess;noun, verb;False;True;False;False;True;False;False;False;False;False
message;noun;False;True;False;False;False;False;False;False;False;False
metal;noun;False;True;False;False;False;False;False;False;False;False
metaphor;noun;False;True;False;False;False;False;False;False;False;False
meter;noun, noun, noun;False;True;False;False;False;False;False;False;False;False
methane;noun;False;True;False;False;False;False;False;False;False;False
method;noun;False;True;False;False;False;False;False;False;False;False
mettle;noun;False;True;False;False;False;False;False;False;False;False
microcosm;noun;False;True;False;False;False;False;False;False;False;False
middle;adjective, noun;False;True;True;False;False;False;False;False;False;False
midnight;noun;False;True;False;False;False;False;False;False;False;False
might;verb, noun;False;True;False;False;True;False;False;False;False;False
mild;adjective;False;False;True;False;False;False;False;False;False;False
mile;noun;False;True;False;False;False;False;False;False;False;False
military;adjective, noun;False;True;True;False;False;False;False;False;False;False
milk;noun, verb;False;True;False;False;True;False;False;False;False;False
mill;noun, verb;False;True;False;False;True;False;False;False;False;False
mind;noun, verb;False;True;False;False;True;False;False;False;False;False
mine;pronoun, noun, verb;True;False;False;False;True;False;False;False;False;False
mineral;noun;False;True;False;False;False;False;False;False;False;False
minimum;noun, adjective, adverb;False;True;True;True;False;False;False;False;False;False
minimum;noun;False;True;False;False;False;False;False;False;False;False
minister;noun, verb;False;True;False;False;True;False;False;False;False;False
minor;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False
minority;noun;False;True;False;False;False;False;False;False;False;False
minute;noun, adjective;False;True;True;False;False;False;False;False;False;False
miracle;noun;False;True;False;False;False;False;False;False;False;False
mirror;noun, verb;False;True;False;False;True;False;False;False;False;False
misery;noun;False;True;False;False;False;False;False;False;False;False
miss;verb, noun, noun;False;True;False;False;True;False;False;False;False;False
mission;noun;False;True;False;False;False;False;False;False;False;False
mistake;noun, verb;False;True;False;False;True;False;False;False;False;False
mix;verb, noun;False;True;False;False;True;False;False;False;False;False
mixture;noun;False;True;False;False;False;False;False;False;False;False
mobile;adjective, noun;False;True;True;False;False;False;False;False;False;False
mode;noun;False;True;False;False;False;False;False;False;False;False
model;noun, adjective, verb;False;True;True;False;True;False;False;False;False;False
moderate;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False
modern;adjective, noun;False;True;True;False;False;False;False;False;False;False
modest;adjective;False;False;True;False;False;False;False;False;False;False
mom;noun;False;True;False;False;False;False;False;False;False;False
moment;noun;False;True;False;False;False;False;False;False;False;False
Monday;noun;False;True;False;False;False;False;False;False;False;False
money;noun;False;True;False;False;False;False;False;False;False;False
monitor;noun, verb;False;True;False;False;True;False;False;False;False;False
month;noun;False;True;False;False;False;False;False;False;False;False
monthly;adjective, noun;False;True;True;False;False;False;False;False;False;False
mood;noun, noun;False;True;False;False;False;False;False;False;False;False
moody;adjective;False;False;True;False;False;False;False;False;False;False
moon;noun, verb;False;True;False;False;True;False;False;False;False;False
moral;adjective, noun;False;True;True;False;False;False;False;False;False;False
more;adjective, adverb, pronoun;True;False;True;True;False;False;False;False;False;False
morning;noun;False;True;False;False;False;False;False;False;False;False
morose;adjective;False;False;True;False;False;False;False;False;False;False
most;adjective, adverb, noun, pronoun, adverb;True;False;True;True;False;False;False;False;False;False
mostly;adverb;False;False;False;True;False;False;False;False;False;False
mother;noun, verb;False;True;False;False;True;False;False;False;False;False
